Name
Acomys
Aepyceros
Aepyprymnus
Agouti
Ailurus
Allactaga
Alopex
Alouatta
Antidorcas
Antilocapra
Antilope
Aonyx
Aotus
Aplodontia
Arctocephalus
Atelerix
Ateles
Bassariscus
Bos
Boselaphus
Brachyteles
Bradypus
Callicebus
Callithrix
Callosciurus
Camelus
Canis
Cannomys
Capra
Capricornis
Castor
Cavia
Cebuella
Cebus
Cercocebus
Cercopithecus
Cervus
Chinchilla
Choloepus
Coendou
Colobus
Cricetomys
Cricetus
Crocidura
Crocuta
Cynictis
Cynocephalus
Cynomys
Cynopterus
Dactylopsila
Dasyprocta
Dasypus
Dasyuroides
Didelphis
Dinomys
Dolichotis
Dryomys
Dusicyon
Echinops
Eidolon
Elaphodus
Elephas
Ellobius
Enhydra
Epomophorus
Equus
Erethizon
Erinaceus
Erythrocebus
Euphractus
Felis
Galago
Genetta
Giraffa
Glirulus
Gorilla
Gulo
Hemicentetes
Hemiechinus
Hippopotamus
Hippotragus
Homo
Hyaena
Hydrochaerus
Hylobates
Hystrix
Ictonyx
Jaculus
Lagenorhynchus
Lagidium
Lagostomus
Lagothrix
Lama
Lemur
Leontopithecus
Lepus
Loris
Macaca
Macropus
Macroscelides
Mandrillus
Marmota
Martes
Mayailurus
Meles
Mephitis
Microtus
Miopithecus
Mogera
Muntiacus
Mustela
Myocastor
Myrmecophaga
Nandinia
Nannospalax
Nasua
Neofelis
Nyctereutes
Nycticebus
Ochotona
Ondatra
Oryctolagus
Otocyon
Otolemur
Ovis
Paguma
Pan
Panthera
Papio
Paradoxurus
Paraxerus
Pedetes
Perodicticus
Petaurista
Petaurus
Phacochoerus
Phascolarctos
Philander
Phoca
Pithecia
Pongo
Potos
Praomys
Presbytis
Procavia
Procolobus
Procyon
Psammomys
Pseudorca
Pteromys
Pteropus
Pygathrix
Rangifer
Rattus
Rhombomys
Rousettus
Saguinus
Saimiri
Sarcophilus
Sciurus
Selenarctos
Setifer
Spermophilus
Spilogale
Stenella
Suricata
Sus
Sylvilagus
Tamandua
Tamias
Tamiasciurus
Tamiops
Tapirus
Tarsius
Tayassu
Tenrec
Theropithecus
Thryonomys
Tragelaphus
Trichosurus
Trogopterus
Tupaia
Tursiops
Urotrichus
Varecia
Viverra
Vulpes
Wallabia
Zalophus
