Lot_Number,Client,Commercial,Client_Sample_ID,Common_Name,Sample_Type,Phylum,Class,Genus,Species,Sample_Form,Region,Town,Site,Analysis_by,Isotopes,ZooMS,AAR,Lipid,DNA,Other_Analysis,Return_Sample,Returned,Return_Date,Archive_Box,Extra_Information,Date_Recieved,
1,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Saxidomus,,Powder,?,Cape Blanco-Oregon-USA,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Saxidomus ILC-A, Sample From: JW, Date Excavated: 2000",,
2,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Mercenaria,,Powder,,Mark Clark Pit-Charleston-South Carolina-USA,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Mercenaria ILC-B, Sample From: JW, Date Excavated: 2000",,
3,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Mercenaria,,Powder,,Calabash Pit-Calabash-North Carolina-USA,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Mercenaria ILC-C, Sample From: JW, Date Excavated: 2000",,
4,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Cepaea,nemoralis,1,,Beeches Pit,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: shell in tufa. Cepaea nemoralis, Sample From: RP, Date Excavated: 2000",,
5,0,FALSE,LEGACY,Cross-cut Carpet Shell,Shell,Mollusca,Bivalvia,Venerupis,decussata,1,,Clacton Channel IV,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
6,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,naticina,12,,Little Oakley,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
7,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,5,,Shropham Ip.,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: RP, Date Excavated: 2000",,
8,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,4,,Shropham Ip.,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
9,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,goldfussiana,2,,Sugworth-Oxford,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
10,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,5,,Sugworth-Oxford,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
11,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,2,,Ashton Keynes,AK2-0-10,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
12,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,1,,Ashton Keynes,sample 20-30,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
13,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Aveley,line pit tramway cutting,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
14,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,~25,,Aveley-Purfleet Rd,adj. Pumping station-0.25-0.33m,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
15,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,8,,Aveley-Purfleet Rd,Sec 6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
16,0,FALSE,LEGACY,Slug,Slug plates,Mollusca,Gastropoda,,,17,,Aveley-Purfleet Rd,Area 6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
17,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,8,,Aveley-Purfleet Rd,Area 6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
18,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,9,,Aveley-Purfleet Rd,CH 8830,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
19,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,3,,Berkshire Downs,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
20,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,6,,Biddenham,2nd series,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
21,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,5,,Biddenham,Series 2,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
22,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,5,,Biddenham,2nd series,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
23,0,FALSE,LEGACY,Slug,Slug plates,Mollusca,Gastropoda,,,5,,Bielsbeck,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
24,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,2,,Bielsbeck,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
25,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Cassington,4B-top 10 cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
26,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,6,,Cassington,4B-top 10 cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
27,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,4,,Cassington,4B top 10cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
28,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,10,,Cassington,4B-top 10 cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
29,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,3,,Castleton-Derbyshire,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
30,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,8,,Froghall,amino samples,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
31,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,15,,Froghall,amino samples,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
32,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,6,,Froghall,amino samples,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
33,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,4,,Hackney,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
34,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,3,,Hackney,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
35,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,4,,Hackney,sample 7,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
36,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,5,,Hackney,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
37,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,7,,Latton,sample 1 top,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
38,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Purfleet,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
39,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,6 parts,,Purfleet,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
40,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,5,,Purfleet,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
41,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,7,,Radwell,20-30,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
42,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,6,,Radwell,20-30,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
43,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,3 pairs,,Rhine (Germany) near Cologne,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
44,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,5,,Stanton Harcourt,original channel,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: oven?, Sample From: DK, Date Excavated: 1981",,
45,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,38,,Stanton Harcourt,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
46,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,6,,Stanton Harcourt,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 1981",,
47,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,6,,Stratford-upon-Avon,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
48,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,8,,Stratford-upon-Avon,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
49,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,troschelii,6,,Waverley Wood,Bulk 1,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
50,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,troschelii,5,,Waverley Wood,Bulk 1,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
51,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,6,,Woodston,Bulk B,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
52,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,8,,Woodston,Bulk B,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
53,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,5,,Woodston,Bulk B,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
54,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,8,,Woodston,Bulk B,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
55,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,16,,Acle-Norfolk,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: RP, Date Excavated: 1995",,
56,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Barnham,BEF 92 Area III 105 Spit 18,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: SL, Date Excavated: 1992",,
57,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,17,,Barnham,BEF 93 Pit 4 128-118cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: SL, Date Excavated: 1993",,
58,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,6,,Coe Fen-Cambridge,ex UM2C (collected 1919),0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 1919",,
59,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,7,,Coe Fen-Cambridge,ex UM2C (collected 1919),0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 1919",,
60,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,9,,Hoxne,Sq.1 Spit 5 40-50,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: SL, Date Excavated: 2000",,
61,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,11,,Hoxne,Back Pit Spit 3 (20-30),0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: SL, Date Excavated: 2000",,
62,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,11,,Hoxne,Sq.1 Spit 5 40-50,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: SL, Date Excavated: 2000",,
63,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,1: 16-19cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
64,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,2: 33-37cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
65,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,3: 50-55cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
66,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,4,,Amoreira,4: 67-73,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
67,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,5: 91-97cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
68,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,6: 106-110cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
69,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,7: 118-122cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
70,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,8: 130-135cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
71,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,9: 140-145cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
72,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,10: 155-160cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
73,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,11: 167-172cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
74,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,12: 179-184cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
75,0,FALSE,LEGACY,Peppery Furrow Shell,Shell,Mollusca,Bivalvia,Scrobicularia,plana,1,,Amoreira,13: 195-199cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: TvdS, Date Excavated: 2000",,
76,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,x,,Purfleet 042,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: Chris Stemerdink, Date Excavated: 2000",,
77,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,x,,Purfleet 100,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: Chris Stemerdink, Date Excavated: 2000",,
78,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,x,,Purfleet 102,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: Chris Stemerdink, Date Excavated: 2000",,
79,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,x,,Cassington 060,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: Chris Stemerdink, Date Excavated: 2000",,
80,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,x,,Thorn Hill Farm Pit,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: Chris Stemerdink, Date Excavated: 2000",,
81,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,x,,Stanton Harcourt,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: Chris Stemerdink, Date Excavated: 2000",,
82,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,5,,Deeping St James,Sample 8,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata. no Corb here JQS 1999, Sample From: DK, Date Excavated: 2000",,
83,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,5,,Deeping St James,Sample 8,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: no Corb here JQS 1999, Sample From: DK, Date Excavated: 2000",,
84,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,2,,Eye,March Gravels,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: best preserved in largely brackish assemblage -no Bt or Corb (Geol Mag 1990), Sample From: DK, Date Excavated: 2000",,
85,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Whittlesey,King's Dyke (Funthams Lane),0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
86,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,7,,Whittlesey,King's Dyke (Funthams Lane),0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: juveniles -3yr old adults -has many ore, Sample From: DK, Date Excavated: 2000",,
87,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,5,,Whittlesey,King's Dyke (Funthams Lane),0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
88,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,5,,Woodston,Hick's Pit Bulk B,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata. no Corb here Phil Trans 1992, Sample From: DK, Date Excavated: 2000",,
89,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,6,,Woodston,Hick's Pit Bulk B,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: no Corb here Phil Trans 1992, Sample From: DK, Date Excavated: 2000",,
90,0,FALSE,LEGACY,Asian Elephant,Tooth/Teeth,Chordata,Mammalia,Elephas,maximus,x,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Extra Information: Asian elephant tooth, Sample From: Qi, Date Excavated: 2000",,
91,0,FALSE,LEGACY,Deer,Tooth/Teeth,Chordata,Mammalia,,,x,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: Qi, Date Excavated: 2000",,
92,0,FALSE,LEGACY,Elephant,Tooth/Teeth,Chordata,Mammalia,,,x,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: Qi, Date Excavated: 2000",,
93,0,FALSE,LEGACY,Panda,Tooth/Teeth,Chordata,,,,x,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Extra Information: Panda (Aluropoda) tooth, Sample From: Qi, Date Excavated: 2000",,
94,0,FALSE,LEGACY,Rhinoceros,Tooth/Teeth,Chordata,Mammalia,,,x,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Sample From: Qi, Date Excavated: 2000",,
95,0,FALSE,LEGACY,Xiphodon,Tooth/Teeth,Chordata,Mammalia,Xiphodon,,x,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0,"Extra Information: Xiphodon elephant tooth, Sample From: Qi, Date Excavated: 2000",,
