Name 
acanthias
acuta
acutorostrata
acutus
aegagrus
aeglefinus
africana
africana/cyclotis
agrestis
alba
albifrons
albirostris
alces
americana
americanum
americanus
amphibius
ampullatus
annularis
anser
antiquitatis
antiquus
apricaria
apus
araneus
arbustorum
arctica
arctos
argentatus
aries
aristotelis
arquata
aspersa
atra
auritus
australis
avenacea
bactrianus
balearicus
balthica
bassanus
bellus
bengaliensis
bernicla
bidens
bison
bjoerkna
bonoerensis
borealis
brama
caballus
caerulea
caespitosa
californicus
callipyga
calyculata
camelus
canadensis
canus
capreolus
carbo
Caribou
cartusiana
casertanum
cavifrons
chloropus
cinerea
cisalpina
clangula
colchicus
coreanica
cornicula
coronata
corone
coturnix
crassitesta
cristata
cristatus
cucullatus
cuniculus
daubentonii
decollata
decussata
delphis
dentatus
depressa
disana
domesticus
dromedarius
edule
edulis
elaphus
elegans
elizabethae
encrasicolus
equiselis
erinacea
erminea
erytraeonensis
europaea
europaeus
fasciatus
ferina
ferruginea
ferus
ferus caballus
fiber
flavicollis
fluminaris
fluviatilis
frenata
frugilegus
fuscus
gaederopus
gallinago
gallus
gazella
geoffrensis
gibbosula
glacialis
gladius
glama
glareolus
glaucum
goldfussiana
grayi
groenlandica
grylle
grypus
guinea
harengus
hemionus
hirundo
hispidus
hydrochaeris
hyperboreus
imbricata
insubrica
intermedia
islandica
jacobeus
japonica
labrax
lamarckii
lancelaties
lapillus
latrans
leftorhinus
lemerlei
leucas
leucopsis
liberiensis
linguatula
littoralis
littorea
livia
lucerna
lupus
lupus familiaris
lutra
macrocephalus
major
majus
margaritifera
marinus
martes
maximus
mediterraneus
melanostoma
melas
meles
membranacea
merganser
merluccius
merula
mesopotamica
michahellis
migranus
minutus
modiolus
mollissima
monedula
morhua
moschatus
muscorum
musculus
mydas
mysticetus
naticina
nemoralis
neritoides
newtoni
nisus
norvegicus
novaeangliae
obliqua
obtusale
obtusata
oenas
oleracea
olor
orca
ostralegus
paca
pachyderma
palmata
palumbus
papillaris
paradisaea
pentlandi
perdix
persicus
phocoena
physalus
pica
picta
pilchardus
piscatorius
piscinalis
pisuna
plana
planorbis
platyrhynchus
primigenius
priscillia
priscus
puffinus
pupa
putorius
pyramidata
radiata
rattus
ridibundus
robustus
rosmarus
rubellus
rustica
rusticola
salar
sapiens
saxatilis
scombrus
scotica
scrofa
scrofa domesticus
senilis
sexcinctus
similis
solea
sp
sprattae
squatarola
sulcatum
surmuletus
sylvaticus
sylvestris
tarandus
tarandus granti
tatarica
taurus
tentacul+B913ata
tentaculata
terrestris
theodori
timidus
tinnunculus
tobianus
torda
torosa
tridactyla
triserrata
troglodytes
troschelii
truncata
truncatula
trunculus
trutta
tuberculatum
tumidus
turbinatus
ulvae
ulyssiponensis
umbilicalis
unicinctus
Uria aalge
vanellus
ventrosa
vermiculata
vicugna
violascens
virgata
viridis
vulgaris
vulgata
vulpes
wuesti
