Acanthocephala
Acoelomorpha
Annelid
Arthropoda
Chelicerata
Crustacea
Hexapoda
Myriapoda
Brachiopoda
Bryozoa
Chaetognatha
Chordata
Cephalochordata
Urochordata
Vertebrata
Agnatha
Cyclostomata
Gnathostomata
Chondrichthyes
Tetrapoda
Amniota
Osteichthyes
Cnidaria
Ctenophora
Cycliophora
Echinodermata
Crinozoa
Asterozoa
Echinozoa
Echiura
Entoprocta
Gastrotricha
Gnathostomulida
Hemichordata
Kinorhyncha
Loricifera
Micrognathozoa
Mollusca
Nematoda
Nematomorpha
Nemertea
Onychophora
Orthonectida
Phoronida
Placozoa
Platyhelminthes
Porifera
Priapulida
Rhombozoa
Rotifera
Sipuncula
Tardigrada
Xenoturbellida
